Cluster_ID,Longitude,Latitude,Number_Of_Points
498,-73.997973,40.756107,18
498,-73.997973,40.756107,18
498,-73.997997,40.756122,18
498,-73.998107,40.756072,18
498,-73.99799299999998,40.755973,18
498,-73.998148,40.756005,18
498,-73.997893,40.756197,18
498,-73.997923,40.756354,18
498,-73.998002,40.755797,18
498,-73.99782,40.755754,18
498,-73.998056,40.755772,18
498,-73.997718,40.755948,18
498,-73.99814499999998,40.755742,18
498,-73.998159,40.755776,18
498,-73.997978,40.756478,18
498,-73.997752,40.756557,18
498,-73.997612,40.755747,18
498,-73.99836999999998,40.755553,18
