Cluster_ID,Longitude,Latitude,Number_Of_Points
444,-74.005162,40.740863,25
444,-74.005407,40.740973,25
444,-74.00518499999998,40.740652,25
444,-74.005215,40.740602,25
444,-74.005103,40.741142,25
444,-74.005132,40.741047,25
444,-74.005429,40.740771,25
444,-74.00495499999998,40.740802,25
444,-74.00502799999998,40.740735,25
444,-74.00508,40.740732,25
444,-74.005018,40.740832,25
444,-74.00512999999998,40.74106,25
444,-74.005153,40.740733,25
444,-74.005458,40.74071,25
444,-74.005533,40.741027,25
444,-74.00562999999998,40.741023,25
444,-74.00531499999998,40.741184,25
444,-74.00522999999998,40.740567,25
444,-74.005252,40.740531,25
444,-74.004926,40.741146,25
444,-74.005538,40.740508,25
444,-74.004801,40.740659,25
444,-74.00570299999998,40.740627,25
444,-74.005718,40.740568,25
444,-74.004616,40.740562,25
